Bank,Ch,MHz,Mode,Step,Offset,Duplex,TSQL,CTCSS,Skip,Label
0,0,153.6500,NFM,5,.6000,,,88.5,,
0,1,154.2200,NFM,5,.6000,,,88.5,,
0,2,154.6800,NFM,5,.6000,,,88.5,,
0,3,410.1125,NFM,6.25,5.0000,,,88.5,,
0,4,410.3625,NFM,6.25,5.0000,,,88.5,,
0,5,410.4875,NFM,6.25,5.0000,,,88.5,,
0,6,410.6125,NFM,6.25,5.0000,,,88.5,,
0,7,410.7875,NFM,6.25,5.0000,,,88.5,,
0,8,410.9125,NFM,6.25,5.0000,,,88.5,,
0,9,411.3125,NFM,6.25,5.0000,,,88.5,,
0,10,412.6875,NFM,6.25,5.0000,,,88.5,,
0,11,452.1500,NFM,6.25,5.0000,,,88.5,,
0,12,410.2625,NFM,6.25,5.0000,,,88.5,,
0,13,410.6625,NFM,6.25,5.0000,,,88.5,,
1,0,1917.8000,AM,12.5,20.0000,,,88.5,,
1,1,1915.0625,AM,12.5,20.0000,,,88.5,,
1,2,.5000,AM,10,.0000,,,88.5,,
1,3,217.7000,AM,25,.6000,,,88.5,,
1,4,31.5800,WFM,100,.5000,,,88.5,,
1,6,960.7250,AM,25,20.0000,,,88.5,,
1,7,961.2000,AM,25,20.0000,,,88.5,,
1,47,254.7300,AM,5,.6000,,,88.5,,
2,0,146.0100,NFM,15,.6000,,,88.5,,
2,1,440.0000,NFM,25,5.0000,,,88.5,,
3,0,146.0100,NFM,15,.6000,,,88.5,,
3,1,440.0000,NFM,25,5.0000,,,88.5,,
4,0,146.0100,NFM,15,.6000,,,88.5,,
4,1,440.0000,NFM,25,5.0000,,,88.5,,
5,0,146.0100,NFM,15,.6000,,,88.5,,
5,1,440.0000,NFM,25,5.0000,,,88.5,,
6,0,146.0100,NFM,15,.6000,,,88.5,,
6,1,440.0000,NFM,25,5.0000,,,88.5,,
7,0,146.0100,NFM,15,.6000,,,88.5,,
7,1,440.0000,NFM,25,5.0000,,,88.5,,
