Bank,Ch,MHz,Mode,Step,Offset,Duplex,TSQL,CTCSS,Skip,Label
0,0,460.3500,NFM,12.5,.0000,+,t,162.2,,"Ingham"
0,1,460.3000,NFM,12.5,.0000,+,t,162.2,,"IngI-2"
0,2,460.0750,NFM,12.5,.0000,+,t,162.2,,"Ing-Ta"
0,3,460.0250,NFM,12.5,.0000,,,67.0,,"MSP"
0,4,460.0500,NFM,12.5,.0000,+,t,162.2,,"Tri-Ct"
0,5,462.9750,NFM,12.5,.0000,+,t,162.2,,"LCA"
0,6,463.0000,NFM,12.5,.0000,,,67.0,,"Med-1"
0,7,463.0250,NFM,12.5,.0000,,,67.0,,"Med-2"
0,8,463.0500,NFM,12.5,.0000,,,67.0,,"Med-3"
0,9,463.0750,NFM,12.5,.0000,,,67.0,,"Med-4"
0,10,463.1000,NFM,12.5,.0000,,,67.0,,"Med-5"
0,11,463.1250,NFM,12.5,.0000,,,67.0,,"Med-6"
0,12,463.1500,NFM,12.5,.0000,,,67.0,,"Med-7"
0,13,463.1750,NFM,12.5,.0000,,,67.0,,"Med-8"
0,14,462.9500,NFM,12.5,.0000,,,67.0,,"Med-9"
0,15,460.1500,NFM,12.5,.0000,+,t,136.5,,"Jxon-1"
0,16,460.2500,NFM,12.5,.0000,+,t,136.5,,"Jxon-2"
0,17,155.3700,NFM,10,.0000,,,67.0,,"InterC"
0,18,155.8650,NFM,10,.0000,,,67.0,,"MEPPS"
0,19,155.5950,NFM,10,.0000,,t,114.8,,"JxonSh"
0,20,155.3100,NFM,10,.0000,,,67.0,,"Jxon2"
0,21,154.7250,NFM,10,.0000,,t,114.8,,"Jxon"
0,22,158.7450,NFM,10,.0000,,,67.0,,"Jxon"
0,23,151.2500,NFM,10,.1000,,t,146.2,,"MetroP"
0,24,151.2500,NFM,10,.0000,,t,123.0,,"M-Pk"
0,25,151.2500,NFM,10,.0000,,t,103.5,,"M-PK"
0,26,155.4300,NFM,10,.0000,,t,173.8,,"Shi-Sh"
0,27,155.5050,NFM,10,.0000,,,67.0,,"Blue"
0,28,154.9200,NFM,10,.0000,,,67.0,,"Green"
0,29,154.6650,NFM,10,.0000,,,67.0,,"Red"
0,30,154.6800,NFM,10,.0000,,,67.0,,"Tac"
0,31,154.9050,NFM,10,.0000,,,67.0,,"Tac"
0,32,155.4600,NFM,10,.0000,,,67.0,,"White"
0,33,154.0100,NFM,10,.3600,,t,123.0,,"LivFD"
0,34,154.3550,NFM,10,.0000,,t,173.8,,"Shi"
